CODE_COUNTRY,ADJ_TONE,VAL
LUX,1.1939622641509433,1.2424530084005798
SLE,1.2434617213504517,1.252957133361237
SMR,0.0,0.0
BTN,1.293103448275862,1.217687296681387
LVA,1.205607476635514,1.243266956444345
ISR,1.0912809973437774,1.2372947484651569
SEN,1.1322786200834982,1.224554826982547
IMN,1.2769230769230768,1.2693302276032128
SOM,1.0549422336328627,1.201115120964421
LBY,1.0523743477973713,1.1951380339400788
BWA,1.2180345191969004,1.2554329719972441
PER,1.1281737534414193,1.2286115908468915
IND,1.1783564684656493,1.234353652870289
PYF,1.107981220657277,1.3311978922683247
BLR,1.1064230824996375,1.204013830896516
SUR,1.1408839779005524,1.1885203648555671
PNG,1.105380168963984,1.239446041759408
IRQ,1.05060545278954,1.181441395644405
PHL,1.1536585739919942,1.2414794296274987
BLZ,1.2061295106277805,1.2278622824178784
SSD,1.1135824436536181,1.2892554815578088
STP,1.4782608695652173,1.1316219326105155
IRN,1.0654776966911952,1.1961114637874246
ISL,1.25503355704698,1.2225950717381286
FIN,1.3565242494226328,1.267220523075606
ITA,1.2234362685390843,1.2392387695712255
PAK,1.1109769054409215,1.2340462522460958
SLV,1.1302136317395728,1.1912828816598506
ZMB,1.2726389113883039,1.2395780217276853
FJI,1.187467899332306,1.2463038190588667
MAR,1.1887698559290727,1.2033996647877057
POL,1.1818844541643885,1.2413764852031575
FLK,1.36,1.4111084404542218
SPM,1.0,1.308641975308642
SYR,1.050460931101825,1.210140568348506
CAN,1.1981581030962203,1.2420491825476536
PCN,1.2,1.200671382147782
MCO,1.0,1.384014775989919
WLF,1.8,1.185257840584383
MDA,1.2601707684580612,1.202614061085419
SWZ,1.1838111298482294,1.2548567199754246
FSM,1.650943396226415,1.349974757156641
MNE,1.1705298013245033,1.2358648239220087
COD,1.0900826446280991,1.2598876211451009
FRO,1.1666666666666667,1.1823345940596919
PRI,1.1639191290824262,1.1921952179864213
MDG,1.1646525679758308,1.2704064897299083
CAF,1.0554041780199819,1.2948189548202715
PSE,1.0478150422843178,1.2217546399114012
MHL,1.2232346241457859,1.3026214512721939
PRT,1.2392172523961662,1.2368848033406792
COG,1.0882221227048814,1.2481301250698842
FRA,1.1783871112507291,1.2418514709742379
CHE,1.2169971340001169,1.231966158673067
ZWE,1.1221940362800937,1.246404348191751
CIV,1.0941971383147853,1.2533324722163859
MKD,1.2923485183547103,1.2343852612765918
MLI,1.1025217031831336,1.2234595382165578
TCA,1.3428571428571427,1.2898243122810085
PLW,1.7142857142857142,1.3127409658237068
COK,1.2884615384615385,1.293050840208534
TCD,1.1133879781420766,1.2387592504799463
MMR,1.0910842341860216,1.247825866036488
PRY,1.1829268292682926,1.2684782039820528
CHL,1.1451531893520843,1.2348843797093296
MNG,1.327372764786795,1.2131768491800006
MAC,1.334140435835351,1.2852729915506558
ATF,0.0,0.0
CMR,1.0919254658385094,1.2287841912830992
TGO,1.3352685050798259,1.2031559452238019
CHN,1.2132020547945206,1.250282715943266
JEY,1.150774601789221,1.2431151364647466
MNP,1.36,1.3337817959088403
WSM,1.290966386554622,1.2295414560620508
THA,1.1383956289581523,1.2256486483889995
MTQ,1.1428571428571428,1.2605567052754418
COL,1.1613814756671899,1.2309009127479753
MRT,1.1657303370786516,1.2369328437419347
TJK,1.1182519280205656,1.2026335759557898
MSR,1.3846153846153846,1.2095769544253658
CRI,1.2957906712172924,1.2300146753130545
TKL,1.0,1.0952598689224204
MLT,1.170326183525828,1.2727835558741398
QAT,1.2575187969924813,1.2135389969895354
TLS,1.1180555555555556,1.2361029546055062
MUS,1.2562417871222076,1.2542176754217875
TKM,1.1117241379310345,1.1698916239774129
MDV,1.2887249736564805,1.261637645678114
TUN,1.061387900355872,1.2353122517894704
MWI,1.128408527516113,1.2483161297024514
GAB,1.2876923076923077,1.251291124186932
CUB,1.1991069801348642,1.2223699558141128
TON,1.233009708737864,1.2556951216139294
CPV,1.0434782608695652,1.293205727837069
GBR,1.1931143809446387,1.2495020048585512
JAM,1.2022301762114538,1.2365314090765915
MEX,1.1195233827173512,1.2317499736439839
CUW,1.5,1.2081643409565426
MYS,1.1530622678163662,1.2295346022478475
MOZ,1.194510739856802,1.2458408310035678
GRD,1.1898148148148149,1.2354111640950303
CXR,1.170731707317073,1.1294044563361836
JOR,1.1254187604690118,1.2184839112076673
JPN,1.2606508083003365,1.2484224897246563
GEO,1.2316213494461228,1.27042064576587
CYP,1.2756943036691668,1.2288948654124183
TUR,1.0737610215871085,1.2152900477047457
GUF,1.5142857142857142,1.2424727324915363
CZE,1.138235294117647,1.2652275508590136
TTO,1.1448576675849402,1.2679230830987795
GGY,1.1397058823529411,1.2904802537553257
GHA,1.2758808392715757,1.2559105744952137
TUV,1.3584905660377358,1.4255832877336458
GIB,1.24,1.2702837496815553
NAM,1.1161616161616161,1.2322867359328322
TWN,1.2513893176906452,1.2258120378207022
NCL,1.2061855670103092,1.297692675274034
GRL,1.237936772046589,1.2710603478917055
GMB,1.1038200642627634,1.231880128539828
TZA,1.1719961240310077,1.2112788570881918
NER,1.1380597014925373,1.2255514151989395
GIN,1.0968379446640317,1.2693161753079858
NFK,2.0,1.308641975308642
GLP,1.3461538461538463,1.2309386670031353
NGA,1.1400554579309679,1.2405953515772565
DEU,1.1395514024592364,1.2518616660482134
